condition,ordering,seed,i,j,kappa,magnitude,interference,abs_interference
attribute,2,0,2,3,0.032801331054992035,1.0203228749398143,-2.3382592632970046e-05,2.3382592632970046e-05
attribute,2,1,0,1,0.03222429596180306,5.724823775842992,-0.010707795877133212,0.010707795877133212
attribute,2,1,0,2,0.019367204622030947,2.3861770501754043,-0.05296201286504547,0.05296201286504547
attribute,2,1,0,3,0.022759124214217313,2.539675186504355,-0.004509726647778413,0.004509726647778413
attribute,2,1,1,2,0.02988451837838981,2.3993507645944003,-6.782815832467269e-08,6.782815832467269e-08
attribute,2,1,1,3,0.0323569911586111,2.5536963403921433,1.394164644288415e-07,1.394164644288415e-07
attribute,2,1,2,3,0.031583528685829566,1.0644120830886812,-0.00225102093715103,0.00225102093715103
attribute,2,2,0,1,0.033992805169434696,5.759999871253966,0.0038573507512396493,0.0038573507512396493
attribute,2,2,0,2,0.022190089601910025,2.3275723133931066,0.0041575641489559265,0.0041575641489559265
attribute,2,2,0,3,0.02378438257417079,2.436952676860446,0.0035933221788111425,0.0035933221788111425
attribute,2,2,1,2,0.02939168739280096,2.3275723133931066,9.856068964183596e-11,9.856068964183596e-11
attribute,2,2,1,3,0.031056986870743725,2.436952676860446,4.020725543034084e-09,4.020725543034084e-09
attribute,2,2,2,3,0.036314506206324454,0.9847541157105518,3.4196773222696307e-06,3.4196773222696307e-06
attribute,3,0,0,1,0.03357392830733153,5.736073254973041,-0.020075319398652303,0.020075319398652303
attribute,3,0,0,2,0.02271752903950161,2.400908077354008,-0.02007531873647472,0.02007531873647472
attribute,3,0,0,3,0.021542612716363704,2.4950795631570433,-0.02006497732953771,0.02006497732953771
attribute,3,0,1,2,0.02861540348724164,2.3909347578868667,-8.098664744660145e-07,8.098664744660145e-07
attribute,3,0,1,3,0.03204941921634702,2.4847150574044012,-0.00018042013973809667,0.00018042013973809667
attribute,3,0,2,3,0.038819904286914265,1.0400098091622771,0.011025123481203696,0.011025123481203696
attribute,3,1,0,1,0.03165252485713645,5.725519944870853,-0.0829529777983246,0.0829529777983246
attribute,3,1,0,2,0.01672682682666765,2.438399897457894,-0.08295575594134086,0.08295575594134086
attribute,3,1,0,3,0.0169469860856276,2.424437500642275,-0.08296007066072868,0.08296007066072868
